timestamp,tire_F(t),suspension_travel(t),seat_a(t)
3.19,-4363.565131643253,0.8191360840879935,0.06949236973449237
3.2,-4313.594296467395,0.8191533729751926,0.0529424102256371
3.21,-4280.56386523756,0.819213756297615,0.0245871536841283
3.22,-4325.030374346367,0.8192871786945954,-0.006187061797762302
3.23,-4339.142514381815,0.8193287956676053,-0.028994057650802083
3.24,-4375.791652472992,0.8193510154102358,-0.04538365152894812
3.25,-4393.6596041823905,0.8193404808200159,-0.05024027139070692
3.26,-4363.2102865226025,0.8193224344682773,-0.05262332882047455
3.27,-4306.517651152011,0.8193363369597697,-0.06336844549891983
3.28,-4328.845734335667,0.8193894665622198,-0.082564699333318
3.29,-4388.149164005857,0.81941297431453,-0.0872437460638423
3.3,-4413.2212190059945,0.8193939217016372,-0.08029826500404434
3.31,-4457.252594537448,0.819340573652837,-0.06197192126545588
3.32,-4419.938986142018,0.8192664842206178,-0.039964416515399157
3.33,-4420.348911031876,0.8192158633129927,-0.02157575063053135
3.34,-4376.5303668707675,0.8191748785054606,-0.00425965335277283
3.35,-4343.947469979976,0.8191755173981027,0.001656340223509763
3.36,-4354.042059072455,0.8191954491018217,0.0031287350946627157
3.37,-4334.52995195949,0.8192159765049227,0.0030563751607019184
3.38,-4334.418331435403,0.8192489563422019,-0.0012989140959840976
3.39,-4334.682640791183,0.8192811635800492,-0.0061635578770581866
3.4,-4306.630119749516,0.8193189595273829,-0.014095285784414576
3.41,-4301.097434758811,0.819376950673924,-0.02842049173121571
3.42,-4297.74730607666,0.819438804219981,-0.04444452972171007
3.43,-4318.763785668704,0.8195007340045144,-0.06103469515597718
3.44,-4359.896760474368,0.8195351230657096,-0.0680922680491733
3.45,-4342.1838125649865,0.8195448155494707,-0.06971688095068203
3.46,-4343.954863327587,0.8195639075040411,-0.07368899849364728
3.47,-4384.209750494674,0.8195749058329236,-0.07272586871140826
3.48,-4428.06274084522,0.8195464484898636,-0.05919915857008581
3.49,-4415.813128102117,0.8194904676578586,-0.040068388964211485
3.5,-4424.774105719204,0.8194382429796977,-0.02051595076676449
3.51,-4404.34007215714,0.8193857595202637,0.00013089476942506432
3.52,-4430.781309852953,0.8193444023117546,0.0188684343906516
3.53,-4434.399135920958,0.8192810038370466,0.04469678148963112
3.54,-4353.642281465868,0.8192337573679178,0.06304455334494416
3.55,-4261.567082880265,0.8192598907602203,0.05763959593047048
3.56,-4222.688348505826,0.8193652921181648,0.030972846285650727
3.57,-4228.431945901633,0.8194948346921214,-0.0027821472536156003
3.58,-4177.561088028195,0.8196362127580166,-0.046147678494262816
3.59,-4245.014163589212,0.8197965402840629,-0.09897382880470028
3.6,-4307.821000779584,0.8198933761214648,-0.12846047780699527
3.61,-4318.007076831408,0.8199420470960328,-0.14488932791084227
3.62,-4342.299962714824,0.8199722429725581,-0.1537530321377858
3.63,-4360.621121592306,0.8199810387346835,-0.15396642522082024
3.64,-4384.058826609753,0.8199708532187651,-0.14668812781059348
3.65,-4390.703104643624,0.8199406136505749,-0.13260527927808616
3.66,-4365.450966871109,0.8199118601207986,-0.12117280373266036
3.67,-4388.224782923135,0.8198958332957426,-0.10960863094280361
3.68,-4395.536865944631,0.8198627324032594,-0.09108096132914435
3.69,-4413.24588146302,0.8198237911382368,-0.0718028275554919
3.7,-4449.735884848778,0.8197614032740137,-0.044295696419775744
3.71,-4432.998919137277,0.8196795553927798,-0.012049028293707428
3.72,-4419.485412898501,0.8196099493071911,0.01864566081011958
3.73,-4406.498217010971,0.8195559204024898,0.04542942882335789
3.74,-4407.671701817859,0.8195103483401726,0.06950716548398646
3.75,-4375.817722299033,0.8194735780651727,0.08793621157686857
3.76,-4356.264738162683,0.8194617532068402,0.09619443309687199
3.77,-4309.293703933416,0.8194764732869957,0.09298298677123475
3.78,-4333.966909049506,0.8195205562170063,0.08174351403785636
3.79,-4336.95278689034,0.8195449542823388,0.07555432725952944
3.8,-4304.601517476134,0.8195764976059278,0.06220372360898712
3.81,-4294.874566509991,0.8196276710771874,0.04350976638505131
3.82,-4269.329887578563,0.8196948139763887,0.01853324064542979
3.83,-4285.654237802281,0.8197741616552594,-0.010877661166621996
3.84,-4317.357308656315,0.8198383059020465,-0.03745844234037463
3.85,-4384.598783613545,0.8198624622726811,-0.051627723776022094
3.86,-4374.55135845144,0.8198394479950829,-0.052574106453270514
3.87,-4362.432943156513,0.8198252468867151,-0.055834540819074616
3.88,-4394.0876561350715,0.8198111541918627,-0.0556672751425026
3.89,-4402.858394306852,0.819775590124902,-0.048392815711868785
3.9,-4442.023011602153,0.8197267345794547,-0.035872874840729686
3.91,-4479.147442185014,0.8196392512877989,-0.01084553112887079
3.92,-4427.220979170024,0.8195390248707735,0.017847764677312247
3.93,-4442.772880616744,0.8194721576563648,0.0396415901470372
3.94,-4456.61347651109,0.8193922398818365,0.06756009524034993
3.95,-4429.319428119664,0.8193122262215774,0.09387123913862373
3.96,-4410.212512875111,0.8192539436931403,0.11237730822693758
3.97,-4423.849376077964,0.8192120062706191,0.12536633592788463
3.98,-4461.7354737711785,0.8191505777680148,0.14689561503583187
3.99,-4414.519112490899,0.8190748315472498,0.16567250623827098
4.0,-4371.1890662021815,0.8190400662303594,0.16573783660244884
4.01,-4385.694358233272,0.8190379523611286,0.15917224114865955
4.02,-4459.647123577162,0.8190106862225192,0.16727966640476097
4.03,-4462.019004554925,0.8189329039769577,0.18553422642895231
4.04,-4475.135580237202,0.8188486326297135,0.20043297134805585
4.05,-4442.120053390152,0.8187599303146706,0.2149683677586495
4.06,-4391.796955359633,0.8187095361352263,0.20905390938624274
4.07,-4376.601678683884,0.8186962909599101,0.19685918800555555
4.08,-4354.100319661207,0.8187049874422321,0.17798394341300536
4.09,-4378.810917430278,0.8187234335172726,0.16083963986840027
4.1,-4384.36147780436,0.8187253589518557,0.14817380708484887
4.11,-4383.49160569176,0.8187221527128685,0.13424520607785553
4.12,-4365.84640762351,0.8187226114602407,0.11813151963841051
